Branch_id,Branch_name,Location,Contact,Email,Room_id
39,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user39@example.com,
40,Giza Pyramids Branch,Giza - Haram Street,,,
41,Giza Pyramids Branch,Giza - Haram Street,,user41@example.com,307
42,Downtown Branch,Cairo - Tahrir Square,,user42@example.com,352
43,Giza Pyramids Branch,Giza - Haram Street,2.01073E+11,,
44,Giza Pyramids Branch,Giza - Haram Street,2.01097E+11,,210
45,Aswan View Branch,Aswan - High Dam District,,,264
46,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,mansoura_guest88@gmail.com,103
47,Aswan View Branch,Aswan - High Dam District,,,412
48,Downtown Branch,Cairo - Tahrir Square,,user48@example.com,101
49,Aswan View Branch,Aswan - High Dam District,,user49@example.com,412
50,Downtown Branch,Cairo - Tahrir Square,2.01072E+11,user50@example.com,461
51,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,,
52,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,user52@example.com,101
53,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01022E+11,user53@example.com,182
54,Alex Seaside Branch,Alexandria - Corniche,,,204
55,Aswan View Branch,Aswan - High Dam District,2.01096E+11,,
56,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,user56@example.com,
57,Luxor Nile Branch,Luxor - Nile Corniche,2.0103E+11,user57@example.com,
58,Mansoura Center Branch,Mansoura - El Gomhouria St.,,user58@example.com,232
59,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,,
60,Downtown Branch,Cairo - Tahrir Square,,contact_cairo@hotelchain.com,
61,Mansoura Center Branch,Mansoura - El Gomhouria St.,,,491
62,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user62@example.com,
63,Downtown Branch,Cairo - Tahrir Square,2.01015E+11,user63@example.com,
64,Giza Pyramids Branch,Giza - Haram Street,2.01074E+11,,
65,Giza Pyramids Branch,Giza - Haram Street,,user65@example.com,
66,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,,157
67,Luxor Nile Branch,Luxor - Nile Corniche,2.01034E+11,,103
68,Aswan View Branch,Aswan - High Dam District,,user68@example.com,226
69,Giza Pyramids Branch,Giza - Haram Street,,,307
70,Downtown Branch,Cairo - Tahrir Square,,contact_cairo@hotelchain.com,182
71,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user71@example.com,
72,Mansoura Center Branch,Mansoura - El Gomhouria St.,,,117
73,Downtown Branch,Cairo - Tahrir Square,,,390
74,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,204
75,Giza Pyramids Branch,Giza - Haram Street,,user75@example.com,307
76,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,mansoura_guest88@gmail.com,110
77,Alex Seaside Branch,Alexandria - Corniche,,user77@example.com,
78,Luxor Nile Branch,Luxor - Nile Corniche,,luxorbooking@hotelchain.com,420
79,Alex Seaside Branch,Alexandria - Corniche,,,336
80,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user80@example.com,110
81,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user81@example.com,110
82,Giza Pyramids Branch,Giza - Haram Street,2.01059E+11,,473
83,Mansoura Center Branch,Mansoura - El Gomhouria St.,,mansoura_guest88@gmail.com,110
84,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01093E+11,user84@example.com,155
85,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,contact_cairo@hotelchain.com,237
86,Downtown Branch,Cairo - Tahrir Square,,,
87,Luxor Nile Branch,Luxor - Nile Corniche,2.01097E+11,luxorbooking@hotelchain.com,
88,Giza Pyramids Branch,Giza - Haram Street,,,216
89,Aswan View Branch,Aswan - High Dam District,2.01098E+11,,
90,Luxor Nile Branch,Luxor - Nile Corniche,,user90@example.com,
91,Alex Seaside Branch,Alexandria - Corniche,,,243
92,Downtown Branch,Cairo - Tahrir Square,,user92@example.com,101
93,Downtown Branch,Cairo - Tahrir Square,,user93@example.com,265
94,Giza Pyramids Branch,Giza - Haram Street,2.01072E+11,,307
95,Aswan View Branch,Aswan - High Dam District,,user95@example.com,284
96,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,182
97,Mansoura Center Branch,Mansoura - El Gomhouria St.,,user97@example.com,234
98,Luxor Nile Branch,Luxor - Nile Corniche,,,
99,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,,347
100,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,,
101,Giza Pyramids Branch,Giza - Haram Street,2.01057E+11,,
102,Aswan View Branch,Aswan - High Dam District,2.01043E+11,user102@example.com,357
103,Aswan View Branch,Aswan - High Dam District,2.01046E+11,,
104,Giza Pyramids Branch,Giza - Haram Street,2.01082E+11,,307
105,Mansoura Center Branch,Mansoura - El Gomhouria St.,,mansoura_guest88@gmail.com,400
106,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,,307
107,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,,
108,Aswan View Branch,Aswan - High Dam District,2.01032E+11,,154
109,Alex Seaside Branch,Alexandria - Corniche,,user109@example.com,
110,Alex Seaside Branch,Alexandria - Corniche,,user110@example.com,154
111,Luxor Nile Branch,Luxor - Nile Corniche,,luxorbooking@hotelchain.com,
112,Aswan View Branch,Aswan - High Dam District,,user112@example.com,473
113,Alex Seaside Branch,Alexandria - Corniche,,,
114,Giza Pyramids Branch,Giza - Haram Street,,,
115,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,user115@example.com,335
116,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,,348
117,Giza Pyramids Branch,Giza - Haram Street,,,315
118,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,,
119,Giza Pyramids Branch,Giza - Haram Street,,,307
120,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,,
121,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01096E+11,mansoura_guest88@gmail.com,362
122,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,,391
123,Aswan View Branch,Aswan - High Dam District,,,412
124,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,363
125,Alex Seaside Branch,Alexandria - Corniche,2.01034E+11,user125@example.com,378
126,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01021E+11,,110
127,Aswan View Branch,Aswan - High Dam District,,,
128,Giza Pyramids Branch,Giza - Haram Street,,,
129,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,,101
130,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01029E+11,,
131,Giza Pyramids Branch,Giza - Haram Street,2.01028E+11,,137
132,Alex Seaside Branch,Alexandria - Corniche,,user132@example.com,220
133,Aswan View Branch,Aswan - High Dam District,,,412
134,Giza Pyramids Branch,Giza - Haram Street,2.01054E+11,,307
135,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,mansoura_guest88@gmail.com,
136,Downtown Branch,Cairo - Tahrir Square,,contact_cairo@hotelchain.com,101
137,Luxor Nile Branch,Luxor - Nile Corniche,2.01043E+11,luxorbooking@hotelchain.com,
138,Aswan View Branch,Aswan - High Dam District,2.0107E+11,user138@example.com,412
139,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,,
140,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01096E+11,user140@example.com,
141,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,,
142,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,,
143,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,luxorbooking@hotelchain.com,
144,Giza Pyramids Branch,Giza - Haram Street,2.01082E+11,,
145,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,,265
146,Giza Pyramids Branch,Giza - Haram Street,,,374
147,Aswan View Branch,Aswan - High Dam District,,user147@example.com,304
148,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.0105E+11,mansoura_guest88@gmail.com,110
149,Mansoura Center Branch,Mansoura - El Gomhouria St.,,,470
150,Aswan View Branch,Aswan - High Dam District,,user150@example.com,412
151,Downtown Branch,Cairo - Tahrir Square,,contact_cairo@hotelchain.com,453
152,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user152@example.com,110
153,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,user153@example.com,161
154,Luxor Nile Branch,Luxor - Nile Corniche,,luxorbooking@hotelchain.com,425
155,Alex Seaside Branch,Alexandria - Corniche,,user155@example.com,225
156,Aswan View Branch,Aswan - High Dam District,2.01085E+11,,
157,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01054E+11,mansoura_guest88@gmail.com,110
158,Luxor Nile Branch,Luxor - Nile Corniche,,user158@example.com,186
159,Giza Pyramids Branch,Giza - Haram Street,2.01037E+11,,
160,Aswan View Branch,Aswan - High Dam District,,user160@example.com,412
161,Downtown Branch,Cairo - Tahrir Square,,contact_cairo@hotelchain.com,101
162,Downtown Branch,Cairo - Tahrir Square,,contact_cairo@hotelchain.com,101
163,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,354
164,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,,
165,Downtown Branch,Cairo - Tahrir Square,2.01087E+11,,482
166,Aswan View Branch,Aswan - High Dam District,,,412
167,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.0104E+11,user167@example.com,110
168,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,,307
169,Giza Pyramids Branch,Giza - Haram Street,2.0108E+11,,
170,Giza Pyramids Branch,Giza - Haram Street,,,267
171,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,,
172,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,mansoura_guest88@gmail.com,110
173,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,,137
174,Downtown Branch,Cairo - Tahrir Square,,contact_cairo@hotelchain.com,442
175,Downtown Branch,Cairo - Tahrir Square,2.01058E+11,user175@example.com,
176,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,,418
177,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01048E+11,user177@example.com,
178,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,contact_cairo@hotelchain.com,294
179,Luxor Nile Branch,Luxor - Nile Corniche,,user179@example.com,235
180,Downtown Branch,Cairo - Tahrir Square,2.01035E+11,contact_cairo@hotelchain.com,
181,Giza Pyramids Branch,Giza - Haram Street,2.01073E+11,,307
182,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,,110
183,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,316
184,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,204
185,Aswan View Branch,Aswan - High Dam District,,,
186,Aswan View Branch,Aswan - High Dam District,,,412
187,Aswan View Branch,Aswan - High Dam District,,,313
188,Aswan View Branch,Aswan - High Dam District,,user188@example.com,
189,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user189@example.com,
190,Luxor Nile Branch,Luxor - Nile Corniche,2.01091E+11,,
191,Downtown Branch,Cairo - Tahrir Square,,contact_cairo@hotelchain.com,281
192,Downtown Branch,Cairo - Tahrir Square,2.01017E+11,,223
193,Downtown Branch,Cairo - Tahrir Square,,,
194,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,
195,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user195@example.com,
196,Luxor Nile Branch,Luxor - Nile Corniche,2.01073E+11,user196@example.com,
197,Giza Pyramids Branch,Giza - Haram Street,2.01098E+11,,
198,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,
199,Alex Seaside Branch,Alexandria - Corniche,2.0104E+11,user199@example.com,
200,Aswan View Branch,Aswan - High Dam District,,,412
201,Giza Pyramids Branch,Giza - Haram Street,,user201@example.com,249
202,Downtown Branch,Cairo - Tahrir Square,,user202@example.com,229
203,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,,185
204,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user204@example.com,382
205,Downtown Branch,Cairo - Tahrir Square,2.01056E+11,contact_cairo@hotelchain.com,
206,Giza Pyramids Branch,Giza - Haram Street,2.01054E+11,,307
207,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,user207@example.com,
208,Alex Seaside Branch,Alexandria - Corniche,,,
209,Downtown Branch,Cairo - Tahrir Square,,user209@example.com,
210,Mansoura Center Branch,Mansoura - El Gomhouria St.,,mansoura_guest88@gmail.com,471
211,Aswan View Branch,Aswan - High Dam District,,,412
212,Luxor Nile Branch,Luxor - Nile Corniche,2.01027E+11,,
213,Aswan View Branch,Aswan - High Dam District,,,
214,Giza Pyramids Branch,Giza - Haram Street,,,
215,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user215@example.com,
216,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user216@example.com,282
217,Giza Pyramids Branch,Giza - Haram Street,,,
218,Mansoura Center Branch,Mansoura - El Gomhouria St.,,mansoura_guest88@gmail.com,110
219,Aswan View Branch,Aswan - High Dam District,,,
220,Giza Pyramids Branch,Giza - Haram Street,2.01063E+11,user220@example.com,307
221,Giza Pyramids Branch,Giza - Haram Street,,,307
222,Mansoura Center Branch,Mansoura - El Gomhouria St.,,user222@example.com,102
223,Aswan View Branch,Aswan - High Dam District,2.0107E+11,,
224,Alex Seaside Branch,Alexandria - Corniche,2.0108E+11,alex_guest45@mail.com,204
225,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user225@example.com,459
226,Aswan View Branch,Aswan - High Dam District,,,433
227,Downtown Branch,Cairo - Tahrir Square,,,101
228,Alex Seaside Branch,Alexandria - Corniche,,user228@example.com,204
229,Luxor Nile Branch,Luxor - Nile Corniche,2.01086E+11,,323
230,Luxor Nile Branch,Luxor - Nile Corniche,2.01089E+11,luxorbooking@hotelchain.com,150
231,Alex Seaside Branch,Alexandria - Corniche,2.01034E+11,,
232,Mansoura Center Branch,Mansoura - El Gomhouria St.,,,
233,Downtown Branch,Cairo - Tahrir Square,2.01085E+11,contact_cairo@hotelchain.com,108
234,Luxor Nile Branch,Luxor - Nile Corniche,,luxorbooking@hotelchain.com,
235,Luxor Nile Branch,Luxor - Nile Corniche,2.01023E+11,luxorbooking@hotelchain.com,
236,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.0107E+11,user236@example.com,
237,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,,246
238,Aswan View Branch,Aswan - High Dam District,,,412
239,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,204
240,Giza Pyramids Branch,Giza - Haram Street,,user240@example.com,253
241,Mansoura Center Branch,Mansoura - El Gomhouria St.,,mansoura_guest88@gmail.com,
242,Alex Seaside Branch,Alexandria - Corniche,,,204
243,Giza Pyramids Branch,Giza - Haram Street,,user243@example.com,266
244,Aswan View Branch,Aswan - High Dam District,2.01088E+11,,269
245,Aswan View Branch,Aswan - High Dam District,,user245@example.com,412
246,Aswan View Branch,Aswan - High Dam District,2.01091E+11,user246@example.com,412
247,Alex Seaside Branch,Alexandria - Corniche,,user247@example.com,
248,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,contact_cairo@hotelchain.com,466
249,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01021E+11,mansoura_guest88@gmail.com,325
250,Aswan View Branch,Aswan - High Dam District,,,412
251,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user251@example.com,
252,Alex Seaside Branch,Alexandria - Corniche,,,204
253,Mansoura Center Branch,Mansoura - El Gomhouria St.,,,261
254,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,,110
255,Alex Seaside Branch,Alexandria - Corniche,,,
256,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,,
257,Luxor Nile Branch,Luxor - Nile Corniche,,,
258,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,luxorbooking@hotelchain.com,
259,Downtown Branch,Cairo - Tahrir Square,,user259@example.com,433
260,Alex Seaside Branch,Alexandria - Corniche,,,
261,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user261@example.com,
262,Aswan View Branch,Aswan - High Dam District,2.01039E+11,,
263,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,155
264,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,contact_cairo@hotelchain.com,119
265,Aswan View Branch,Aswan - High Dam District,2.01096E+11,,412
266,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,,
267,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,
268,Aswan View Branch,Aswan - High Dam District,,user268@example.com,171
269,Giza Pyramids Branch,Giza - Haram Street,,,307
270,Giza Pyramids Branch,Giza - Haram Street,2.01083E+11,,307
271,Alex Seaside Branch,Alexandria - Corniche,,,
272,Downtown Branch,Cairo - Tahrir Square,,contact_cairo@hotelchain.com,310
273,Giza Pyramids Branch,Giza - Haram Street,,,
274,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user274@example.com,
275,Alex Seaside Branch,Alexandria - Corniche,2.01054E+11,user275@example.com,
276,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,user276@example.com,176
277,Alex Seaside Branch,Alexandria - Corniche,2.01079E+11,user277@example.com,286
278,Downtown Branch,Cairo - Tahrir Square,,,
279,Alex Seaside Branch,Alexandria - Corniche,,user279@example.com,204
280,Aswan View Branch,Aswan - High Dam District,,,412
281,Giza Pyramids Branch,Giza - Haram Street,,user281@example.com,
282,Downtown Branch,Cairo - Tahrir Square,,user282@example.com,
283,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user283@example.com,110
284,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,,
285,Aswan View Branch,Aswan - High Dam District,,,200
286,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,user286@example.com,
287,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,contact_cairo@hotelchain.com,
288,Aswan View Branch,Aswan - High Dam District,2.0109E+11,,287
289,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,138
290,Aswan View Branch,Aswan - High Dam District,,,247
291,Aswan View Branch,Aswan - High Dam District,,,
292,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,
293,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,luxorbooking@hotelchain.com,
294,Aswan View Branch,Aswan - High Dam District,2.01012E+11,,
295,Aswan View Branch,Aswan - High Dam District,,user295@example.com,
296,Aswan View Branch,Aswan - High Dam District,2.01078E+11,,488
297,Giza Pyramids Branch,Giza - Haram Street,2.01087E+11,user297@example.com,
298,Downtown Branch,Cairo - Tahrir Square,2.01018E+11,user298@example.com,101
299,Downtown Branch,Cairo - Tahrir Square,2.01071E+11,,101
300,Aswan View Branch,Aswan - High Dam District,2.01069E+11,,412
301,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user301@example.com,
302,Alex Seaside Branch,Alexandria - Corniche,2.01076E+11,alex_guest45@mail.com,318
303,Aswan View Branch,Aswan - High Dam District,2.01043E+11,user303@example.com,412
304,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,user304@example.com,307
305,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,mansoura_guest88@gmail.com,
306,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,204
307,Aswan View Branch,Aswan - High Dam District,,,412
308,Downtown Branch,Cairo - Tahrir Square,2.0106E+11,user308@example.com,225
309,Downtown Branch,Cairo - Tahrir Square,2.01039E+11,,
310,Aswan View Branch,Aswan - High Dam District,,,302
311,Alex Seaside Branch,Alexandria - Corniche,2.01052E+11,alex_guest45@mail.com,204
312,Downtown Branch,Cairo - Tahrir Square,2.01085E+11,,211
313,Mansoura Center Branch,Mansoura - El Gomhouria St.,,mansoura_guest88@gmail.com,388
314,Alex Seaside Branch,Alexandria - Corniche,,,204
315,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,user315@example.com,393
316,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,,
317,Luxor Nile Branch,Luxor - Nile Corniche,2.01016E+11,luxorbooking@hotelchain.com,
318,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,user318@example.com,307
319,Aswan View Branch,Aswan - High Dam District,2.01081E+11,,
320,Aswan View Branch,Aswan - High Dam District,,,
321,Downtown Branch,Cairo - Tahrir Square,,contact_cairo@hotelchain.com,467
322,Aswan View Branch,Aswan - High Dam District,,,
323,Giza Pyramids Branch,Giza - Haram Street,,,450
324,Luxor Nile Branch,Luxor - Nile Corniche,2.01099E+11,user324@example.com,
325,Aswan View Branch,Aswan - High Dam District,,,412
326,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,204
327,Aswan View Branch,Aswan - High Dam District,,,132
328,Giza Pyramids Branch,Giza - Haram Street,,,307
329,Aswan View Branch,Aswan - High Dam District,,,412
330,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,,246
331,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,,307
332,Aswan View Branch,Aswan - High Dam District,,user332@example.com,349
333,Alex Seaside Branch,Alexandria - Corniche,,user333@example.com,121
334,Downtown Branch,Cairo - Tahrir Square,,user334@example.com,101
335,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,,187
336,Aswan View Branch,Aswan - High Dam District,2.01011E+11,,412
337,Luxor Nile Branch,Luxor - Nile Corniche,2.01075E+11,luxorbooking@hotelchain.com,435
338,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,user338@example.com,307
339,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,204
340,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,,131
341,Aswan View Branch,Aswan - High Dam District,,,412
342,Mansoura Center Branch,Mansoura - El Gomhouria St.,,mansoura_guest88@gmail.com,110
343,Aswan View Branch,Aswan - High Dam District,,user343@example.com,
344,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01058E+11,mansoura_guest88@gmail.com,432
345,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01027E+11,user345@example.com,269
346,Mansoura Center Branch,Mansoura - El Gomhouria St.,,user346@example.com,416
347,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,contact_cairo@hotelchain.com,101
348,Giza Pyramids Branch,Giza - Haram Street,,,307
349,Alex Seaside Branch,Alexandria - Corniche,,,354
350,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,204
351,Downtown Branch,Cairo - Tahrir Square,,contact_cairo@hotelchain.com,232
352,Alex Seaside Branch,Alexandria - Corniche,,user352@example.com,206
353,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,,307
354,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01097E+11,user354@example.com,269
355,Downtown Branch,Cairo - Tahrir Square,2.01054E+11,user355@example.com,
356,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,,307
357,Mansoura Center Branch,Mansoura - El Gomhouria St.,,,
358,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,497
359,Alex Seaside Branch,Alexandria - Corniche,,user359@example.com,204
360,Downtown Branch,Cairo - Tahrir Square,2.01053E+11,contact_cairo@hotelchain.com,
361,Giza Pyramids Branch,Giza - Haram Street,,user361@example.com,307
362,Luxor Nile Branch,Luxor - Nile Corniche,2.01012E+11,luxorbooking@hotelchain.com,
363,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,,
364,Downtown Branch,Cairo - Tahrir Square,2.01039E+11,,101
365,Aswan View Branch,Aswan - High Dam District,,,412
366,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,user366@example.com,307
367,Aswan View Branch,Aswan - High Dam District,,,
368,Downtown Branch,Cairo - Tahrir Square,2.01035E+11,user368@example.com,101
369,Aswan View Branch,Aswan - High Dam District,,,470
370,Alex Seaside Branch,Alexandria - Corniche,,,204
371,Alex Seaside Branch,Alexandria - Corniche,,,
372,Giza Pyramids Branch,Giza - Haram Street,2.0101E+11,user372@example.com,499
373,Alex Seaside Branch,Alexandria - Corniche,,,204
374,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01077E+11,user374@example.com,110
375,Mansoura Center Branch,Mansoura - El Gomhouria St.,,mansoura_guest88@gmail.com,
376,Alex Seaside Branch,Alexandria - Corniche,,,
377,Luxor Nile Branch,Luxor - Nile Corniche,2.01016E+11,,
378,Alex Seaside Branch,Alexandria - Corniche,2.01052E+11,,204
379,Aswan View Branch,Aswan - High Dam District,,,
380,Luxor Nile Branch,Luxor - Nile Corniche,2.01097E+11,luxorbooking@hotelchain.com,196
381,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01027E+11,,442
382,Aswan View Branch,Aswan - High Dam District,2.01052E+11,user382@example.com,412
